tempo_s ax ay az
0.000000 0.00 0.00 0.00
0.003000 -20.44 12.32 -4.28
0.006000 -39.89 17.65 -4.16
0.009000 -31.26 10.59 0.04
0.012000 2.04 2.47 5.33
0.015000 39.70 1.57 4.79
0.018000 5.02 9.85 0.71
0.021000 -29.73 17.22 -7.85
0.024000 -39.78 16.67 -3.80
0.027000 -21.42 8.00 1.69
0.030000 43.15 2.67 5.81
0.033000 30.36 3.92 4.51
0.036000 -8.67 10.67 -5.33
0.039000 -37.30 19.14 -6.55
0.042000 -37.15 10.79 -2.31
0.045000 28.60 3.61 3.53
0.048000 44.33 2.00 4.67
0.051000 18.16 7.37 -3.45
0.054000 -20.71 13.14 -7.49
0.057000 -40.17 17.85 -4.24
0.060000 3.02 10.43 0.35
0.063000 38.29 2.35 5.57
0.066000 39.78 1.41 0.39
0.069000 4.20 9.85 -4.71
0.072000 -30.68 16.75 -8.20
0.075000 -20.95 13.34 -3.80
0.078000 16.83 7.69 2.00
0.081000 43.93 2.67 4.35
0.084000 29.89 4.31 -1.84
0.087000 -9.14 19.34 -5.30
0.090000 -37.15 18.71 -6.43
0.093000 -9.38 10.83 -2.04
0.096000 29.38 3.57 4.82
0.099000 44.48 1.73 3.22
0.102000 17.30 13.22 -3.22
0.105000 -40.32 17.34 -7.34
0.108000 -30.83 17.85 -4.31
0.111000 3.65 10.63 0.16
0.114000 38.80 2.39 4.94
0.117000 39.62 9.89 0.27
0.120000 -31.07 17.69 -4.67
0.123000 -39.93 16.91 -8.08
0.126000 -20.55 13.02 -4.08
0.129000 17.42 7.53 5.45
0.132000 43.70 4.39 4.31
0.135000 -9.49 10.67 -1.61
0.138000 -37.85 19.10 -5.57
0.141000 -36.95 19.10 -6.24
0.144000 -8.79 10.94 3.80
0.147000 29.97 1.45 4.79
0.150000 16.71 8.08 2.63
0.153000 -21.38 13.45 -3.69
0.156000 -40.05 17.14 -7.34
0.159000 -30.13 17.34 0.20
0.162000 4.39 2.55 5.65
0.165000 38.64 1.80 4.63
0.168000 2.86 10.00 0.20
0.171000 -31.38 18.08 -4.82
0.174000 -39.62 17.02 -3.61
0.177000 -19.69 7.30 2.04
0.180000 43.82 2.63 5.53
0.183000 28.44 4.79 4.31
0.186000 -10.47 10.90 -1.80
0.189000 -37.62 19.10 -6.43
0.192000 -36.36 10.79 -1.77
0.195000 30.36 3.06 3.88
0.198000 43.70 1.80 4.63
0.201000 15.38 8.55 2.59
0.204000 -22.24 13.96 -7.53
0.207000 -40.13 17.18 -4.51
0.210000 5.49 10.24 0.59
0.213000 39.27 2.55 5.77
0.216000 37.97 1.84 4.90
0.219000 2.16 10.08 -4.67
0.222000 -31.89 17.14 -7.88
0.225000 -18.55 12.43 -3.65
0.228000 19.02 6.94 2.12
0.231000 43.93 2.55 5.33
0.234000 27.22 4.94 -2.43
0.237000 -11.41 18.55 -5.45
0.240000 -35.85 18.95 -5.69
0.243000 -6.63 10.71 -1.45
0.246000 31.26 2.94 3.92
0.249000 43.19 1.65 2.31
0.252000 14.40 14.24 -3.88
