tempo_s ax ay az
0.000000 3.53 14.71 -3.92
0.003000 -32.60 17.81 -3.45
0.006000 -43.42 14.59 -1.65
0.009000 20.04 5.88 1.33
0.012000 47.07 2.67 3.53
0.015000 30.95 6.43 2.63
0.018000 -10.83 12.83 -4.59
0.021000 -40.40 16.44 -4.51
0.024000 -9.26 11.89 -1.33
0.027000 31.42 4.71 3.30
0.030000 47.46 2.20 0.04
0.033000 18.59 7.10 -1.57
0.036000 -23.89 18.12 -4.35
0.039000 -31.81 14.79 -3.96
0.042000 5.02 8.20 -0.31
0.045000 40.95 3.84 4.28
0.048000 41.62 4.35 -1.29
0.051000 3.77 16.28 -3.88
0.054000 -43.89 18.67 -4.04
0.057000 -22.36 13.65 -2.55
0.060000 19.34 5.73 3.73
0.063000 46.72 2.20 3.26
0.066000 32.32 13.18 -1.73
0.069000 -39.74 16.59 -4.47
0.072000 -39.58 16.91 -4.08
0.075000 -10.12 12.00 2.59
0.078000 31.77 4.67 3.10
0.081000 48.05 7.26 0.90
0.084000 -23.54 16.48 -1.77
0.087000 -43.86 18.36 -3.84
0.090000 -32.05 15.34 -1.14
0.093000 4.94 8.39 4.04
0.096000 41.27 4.00 3.69
0.099000 4.31 8.71 -1.41
0.102000 -32.60 16.36 -3.80
0.105000 -43.78 18.55 -2.63
0.108000 -22.71 5.77 1.02
0.111000 19.22 2.24 3.77
0.114000 32.60 6.28 3.41
0.117000 -10.75 13.10 -1.29
0.120000 -39.46 16.24 -3.92
0.123000 -39.34 12.59 -0.43
0.126000 -10.67 4.51 2.59
0.129000 47.90 1.22 2.67
0.132000 19.73 7.26 0.55
0.135000 -22.20 15.89 -3.69
0.138000 -44.37 15.46 -3.65
0.141000 -32.13 8.36 -1.80
0.144000 40.99 3.80 3.84
0.147000 42.13 3.69 4.12
0.150000 5.77 8.83 -3.30
0.153000 -32.44 18.48 -3.65
0.156000 -44.01 13.38 -2.71
0.159000 18.24 5.88 1.06
0.162000 46.21 2.47 3.02
0.165000 32.75 6.00 -1.33
0.168000 -9.57 16.20 -4.67
0.171000 -38.64 16.95 -4.16
0.174000 -10.55 13.18 -0.59
0.177000 29.89 4.24 3.06
0.180000 46.68 1.77 0.67
0.183000 20.24 15.02 -1.06
0.186000 -43.46 17.61 -4.04
0.189000 -32.21 14.63 -3.92
0.192000 2.82 8.28 -0.71
0.195000 39.46 4.04 3.65
0.198000 42.91 8.04 -1.80
0.201000 -31.50 16.12 -3.53
0.204000 -44.72 18.44 -3.49
0.207000 -23.85 14.79 -2.00
0.210000 17.42 6.00 3.06
0.213000 47.42 5.92 3.37
0.216000 -8.75 12.59 -1.14
0.219000 -38.91 16.55 -4.39
