tempo_s ax ay az
0.000000 -25.14 6.55 1.53
0.003000 20.71 6.55 0.67
0.006000 43.50 4.04 3.57
0.009000 -12.08 10.75 -3.77
0.012000 -37.23 20.01 -1.10
0.015000 -33.42 21.18 -2.39
0.018000 -3.37 10.28 4.00
0.021000 32.83 1.73 0.35
0.024000 42.09 10.98 2.31
0.027000 -24.99 17.30 -2.75
0.030000 -38.68 17.38 -7.88
0.033000 -24.09 16.00 0.43
0.036000 11.57 10.12 3.53
0.039000 41.66 0.47 2.67
0.042000 -4.20 10.55 -1.69
0.045000 -34.48 21.46 0.35
0.048000 -36.60 20.87 -6.67
0.051000 -11.45 10.04 2.63
0.054000 26.40 3.53 0.55
0.057000 19.65 7.49 3.49
0.060000 -18.12 12.63 -3.92
0.063000 -38.48 18.48 -4.04
0.066000 -30.32 20.01 -2.04
0.069000 2.94 -1.06 3.73
0.072000 39.50 0.16 1.02
0.075000 4.28 11.49 0.39
0.078000 -29.77 20.40 -1.26
0.081000 -38.29 18.40 -0.43
0.084000 -19.26 12.75 0.67
0.087000 18.01 2.39 2.24
0.090000 28.16 2.86 3.69
0.093000 -10.24 10.55 -3.26
0.096000 -36.83 20.83 -0.86
0.099000 -34.60 21.61 -3.10
0.102000 -5.73 0.20 3.69
0.105000 42.95 2.35 0.16
0.108000 13.02 10.43 2.67
0.111000 -23.65 16.12 -3.30
0.114000 -38.32 17.42 0.98
0.117000 -25.73 10.28 -0.78
0.120000 40.99 -0.20 3.84
0.123000 35.30 0.08 2.20
0.126000 -1.80 10.55 -0.67
0.129000 -33.62 21.65 -7.65
0.132000 -37.15 10.24 -2.31
0.135000 -13.49 4.59 2.08
0.138000 44.05 3.30 0.82
0.141000 21.89 6.28 3.65
0.144000 -15.93 11.89 -3.14
0.147000 -38.13 18.48 -0.51
0.150000 -31.62 10.40 -2.35
0.153000 36.48 -1.14 4.28
0.156000 40.72 0.55 0.71
0.159000 6.71 12.00 1.18
0.162000 -28.40 19.42 -9.26
0.165000 -38.48 13.77 -0.43
0.168000 15.93 8.43 0.51
0.171000 43.15 1.77 2.67
0.174000 30.28 1.69 3.06
0.177000 -8.43 10.32 -0.12
0.180000 -36.28 21.57 -4.82
0.183000 -7.57 9.73 -3.06
0.186000 30.05 1.29 3.37
0.189000 43.31 2.71 -0.24
0.192000 15.42 9.49 -2.86
0.195000 -21.61 17.46 -5.77
0.198000 -38.87 18.20 0.55
0.201000 7.26 10.47 -1.22
0.204000 39.93 -0.43 4.08
0.207000 36.83 -0.24 -1.10
0.210000 0.51 11.26 -0.12
0.213000 -32.09 19.22 -8.28
0.216000 -15.34 10.90 -1.80
0.219000 22.36 5.84 1.77
0.222000 43.66 3.26 1.22
0.225000 23.93 5.18 -4.20
0.228000 -13.96 19.34 -2.08
0.231000 -32.52 21.10 -1.65
0.234000 -1.26 9.92 -2.71
0.237000 34.95 -0.67 3.96
0.240000 41.46 1.22 1.69
0.243000 8.75 18.28 -1.96
0.246000 -38.44 17.69 -8.36
0.249000 -22.56 14.79 0.16
0.252000 13.77 9.49 -0.20
0.255000 42.40 1.29 3.14
0.258000 31.22 10.24 -2.63
0.261000 -6.32 21.42 0.20
0.264000 -35.89 20.91 -5.61
0.267000 -9.41 9.81 -2.79
0.270000 28.13 2.39 -0.20
0.273000 43.54 3.41 3.22
0.276000 17.26 13.89 -4.35
0.279000 -38.36 17.81 -5.49
0.282000 -28.67 19.02 0.47
0.285000 4.98 10.83 -1.49
0.288000 38.95 -0.94 1.53
0.291000 37.85 11.38 -0.24
0.294000 -31.03 21.06 -0.59
0.297000 -37.70 18.91 -8.59
0.300000 -16.87 11.65 -1.29
0.303000 20.12 6.75 1.45
0.306000 43.38 4.24 3.77
0.309000 -12.47 10.67 -3.84
0.312000 -37.30 19.85 -1.33
0.315000 -33.15 21.34 -2.47
0.318000 -3.02 9.81 3.53
0.321000 33.62 1.69 0.12
0.324000 41.97 10.90 2.12
0.327000 -25.26 17.38 -2.55
0.330000 -38.68 17.38 -8.08
0.333000 -23.54 15.73 0.31
0.336000 11.89 10.04 3.14
0.339000 41.74 0.47 2.86
0.342000 -4.47 10.55 -2.04
0.345000 -34.52 21.54 0.59
0.348000 -36.48 20.44 -5.88
0.351000 -11.06 10.12 2.67
0.354000 26.20 3.41 0.43
0.357000 19.38 7.61 3.61
0.360000 -18.24 13.02 -3.96
0.363000 -38.48 18.20 -4.28
0.366000 -29.97 19.81 -2.12
0.369000 3.37 -1.22 4.28
0.372000 39.19 0.27 0.94
0.375000 4.08 11.41 0.51
0.378000 -30.01 20.55 -0.78
0.381000 -38.13 18.59 -1.37
0.384000 -18.67 7.88 1.10
0.387000 18.48 2.67 1.96
0.390000 27.81 2.82 3.69
0.393000 -10.59 10.32 -3.53
0.396000 -37.03 20.71 -3.10
0.399000 -34.32 21.81 -3.26
0.402000 -4.94 0.27 3.57
0.405000 42.76 2.39 -0.08
0.408000 12.71 10.24 2.28
0.411000 -23.61 16.44 -3.41
0.414000 -38.76 17.06 1.10
0.417000 -26.09 10.28 -0.86
0.420000 41.07 -0.08 3.49
0.423000 35.19 0.00 2.28
0.426000 -2.16 10.79 -1.18
0.429000 -33.54 21.85 -7.30
0.432000 -36.91 10.16 -2.35
0.435000 24.67 4.35 2.24
0.438000 43.97 3.37 0.71
0.441000 21.46 6.47 3.92
0.444000 -16.36 11.89 -3.37
0.447000 -38.32 20.75 -0.55
0.450000 -31.42 10.20 -2.28
0.453000 36.68 -1.14 4.12
0.456000 40.36 0.75 0.59
0.459000 6.12 11.41 -1.84
0.462000 -28.32 19.46 -8.90
0.465000 -38.32 13.45 -0.20
0.468000 16.16 8.67 0.67
0.471000 43.03 2.04 2.63
0.474000 29.62 1.92 3.73
0.477000 -8.47 10.47 -0.43
0.480000 -35.70 21.14 -4.47
0.483000 -7.14 9.57 -2.82
