tempo_s ax ay az
0.000000 49.78 5.92 4.00
0.003000 9.65 5.92 2.12
0.006000 -28.16 22.83 -4.24
0.009000 -25.07 19.69 1.33
0.012000 15.65 6.59 4.63
0.015000 46.09 -4.63 -1.88
0.018000 37.34 -2.67 -2.00
0.021000 -5.02 22.40 5.26
0.024000 -40.09 23.58 3.10
0.027000 -14.63 14.75 -4.86
0.030000 26.99 1.29 -2.35
0.033000 48.80 -3.92 -0.71
0.036000 25.26 14.51 -5.49
0.039000 -41.74 23.97 0.20
0.042000 -32.56 22.67 6.35
0.045000 0.24 10.20 -0.12
0.048000 38.68 -1.26 -3.88
0.051000 44.99 5.33 2.98
0.054000 -27.38 19.18 2.35
0.057000 -43.54 22.87 -3.53
0.060000 -25.22 18.87 -0.71
0.063000 15.46 5.88 -0.98
0.066000 45.46 -2.35 -7.41
0.069000 -5.57 10.43 -2.39
0.072000 -34.91 22.67 5.18
0.075000 -39.66 23.50 2.79
0.078000 -14.16 14.95 -2.75
0.081000 27.73 -4.31 0.78
0.084000 23.85 0.90 -1.06
0.087000 -18.83 14.59 -4.00
0.090000 -42.09 23.38 -0.75
0.093000 -32.75 22.48 0.55
0.096000 1.45 -2.98 -5.37
0.099000 43.58 -4.08 -3.18
0.102000 10.83 5.84 2.86
0.105000 -28.40 19.85 2.43
0.108000 -43.54 22.79 -0.71
0.111000 -24.09 5.41 2.24
0.114000 47.90 -3.92 -1.49
0.117000 34.79 -2.67 -6.28
0.120000 -6.08 10.90 -1.92
0.123000 -36.64 23.22 3.14
0.126000 -39.81 14.28 -4.79
0.129000 30.83 1.10 -3.49
0.132000 49.03 -4.90 1.53
0.135000 23.46 0.90 0.04
0.138000 -20.59 15.42 -1.02
0.141000 -43.07 22.52 5.88
0.144000 2.28 10.16 0.98
0.147000 38.32 -3.06 -6.00
0.150000 42.17 -4.63 -4.47
0.153000 9.73 6.55 2.71
0.156000 -29.26 23.22 -2.47
0.159000 -24.20 19.06 -1.33
0.162000 17.50 5.26 3.26
0.165000 46.25 -5.49 -0.86
0.168000 33.03 -2.43 -3.18
0.171000 -6.59 23.77 5.45
0.174000 -39.31 23.58 3.26
0.177000 -13.22 14.20 -4.47
0.180000 28.44 0.08 -4.39
0.183000 49.23 -5.37 0.12
0.186000 23.30 15.73 -3.65
0.189000 -43.07 23.65 -1.26
0.192000 -31.19 22.44 5.45
0.195000 2.90 9.77 1.06
0.198000 38.56 -2.79 -4.28
0.201000 42.99 6.00 2.43
0.204000 -29.34 20.01 3.14
0.207000 -43.23 23.22 -2.90
0.210000 -23.54 18.63 -1.65
0.213000 17.26 5.57 -1.06
0.216000 47.19 -2.59 -6.75
0.219000 -7.41 11.45 -3.22
0.222000 -37.38 23.65 5.61
0.225000 -39.27 23.58 3.88
0.228000 -12.43 14.47 -4.71
0.231000 28.71 -4.75 0.39
0.234000 21.65 0.90 0.00
0.237000 -20.48 15.18 -4.24
0.240000 -44.05 23.38 -0.94
0.243000 -31.70 22.48 0.90
0.246000 3.57 -3.53 -7.02
0.249000 43.70 -4.08 -5.45
0.252000 8.51 6.35 2.47
0.255000 -29.46 20.04 3.73
0.258000 -44.17 23.03 -2.04
0.261000 -22.36 4.79 2.63
0.264000 46.95 -5.06 -0.90
0.267000 33.19 -2.55 -6.59
0.270000 -8.08 10.79 -3.49
0.273000 -36.95 23.38 3.73
0.276000 -37.23 14.04 -3.41
0.279000 28.56 0.20 -4.75
0.282000 48.99 -4.63 0.31
0.285000 21.73 1.49 0.78
